Graph name;|V|;|E|;|pins|;Number of parts;Imbalance;alg_dist;zoltan;patoh;hmetis
youtube;94238;30087;293360;16;1.03;6845.0;6946.0;8671.0;7432.0
youtube;94238;30087;293360;16;1.05;6510.0;6859.0;8732.0;7350.0
youtube;94238;30087;293360;16;1.1;6603.0;6679.0;8690.0;7238.0
youtube;94238;30087;293360;2;1.03;1925.0;2134.0;3152.0;1584.0
youtube;94238;30087;293360;2;1.05;1831.0;2025.0;3141.0;1442.0
youtube;94238;30087;293360;2;1.1;1521.0;1708.0;3092.0;1184.0
youtube;94238;30087;293360;32;1.03;7351.0;7635.0;9595.0;7986.0
youtube;94238;30087;293360;32;1.05;7271.0;7687.0;9658.0;7901.0
youtube;94238;30087;293360;32;1.1;7260.0;7525.0;9573.0;7788.0
youtube;94238;30087;293360;4;1.03;4042.0;4318.0;5056.0;4154.0
youtube;94238;30087;293360;4;1.05;4022.0;4251.0;5611.0;4114.0
youtube;94238;30087;293360;4;1.1;3857.0;4096.0;5191.0;3964.0
youtube;94238;30087;293360;64;1.03;7937.0;8252.0;10254.0;8360.0
youtube;94238;30087;293360;64;1.05;7942.0;8242.0;10304.0;8324.0
youtube;94238;30087;293360;64;1.1;7872.0;8245.0;10293.0;8225.0
youtube;94238;30087;293360;8;1.03;4783.0;5011.0;7589.0;6253.0
youtube;94238;30087;293360;8;1.05;4771.0;4939.0;7424.0;6323.0
youtube;94238;30087;293360;8;1.1;4730.0;4769.0;7473.0;6120.0
